Record ID,Date and Time,NotificationType,Notification Title,Email Body
5115,12/12/2014 06:22:00 PM,Road Closure - Unplanned,"Traffic Delays - RFK Bridge (BX, MN, QN)","Notification issued 12/12/14 at 6:22 PM. Due to FDNY activity, expect extensive traffic delays on the Bronx bound Robert F. Kennedy Bridge, Queens. Consider alternate routes."
5116,12/16/2014 07:53:00 AM,Road Closure - Unplanned,Traffic Delays - Lily Pond Road at Verrazano Bridge (SI),"Notification issued 12/16/14 at 7:53 AM. Due to a motor vehicle collision investigation, expect extensive traffic delays on Lily Pond Avenue at the entrance ramp to the Brooklyn bound Verrazano Bridge in Staten Island. Consider alternate routes and allow for additional travel time."
5117,12/12/2014 08:47:00 PM,Mass Transit Disruption,PATH Service Suspension (MN/NJ),"Notification issued 12/12/14 at 8:47 PM. Due to power problems, PATH service is temporarly suspended on the Journal Square, NJ, to World Trade Center, MN, (via Hoboken) line in both directions. Consider alternate routes and allow for additional travel time. See http://www.panynj.gov/path/ for updates."
5118,12/12/2014 09:45:00 PM,Mass Transit Disruption,PATH Train Restoration (MN/NJ),"Notification issued 12/12/14 at 9:45 PM. Following an earlier PATH train suspension, service has resumed on the Journal Square (NJ) to World Trade Center (MN) line. Expect residual delays."
5119,12/17/2014 06:08:00 AM,Fire,Three Alarm Fire - University Avenue & West Burnside Avenue (BX),"Notification issued 12/17/14 at 6:08 AM. Emergency personnel are on the scene of a three alarm fire located at University Avenue and West Burnside Avenue in The Bronx. Expect smoke, traffic delays, and a presence of emergency personnel and vehicles in the vicinity."
5120,12/16/2014 05:53:00 PM,Road Closure - Unplanned,Traffic Delays - Northern Boulevard at 50th Street (QN),"Notification issued on 12/16/14 at 5:53 PM. Due to construction activity, expect traffic delays in the vicinity of Northern Boulevard at 50th Street, Queens. Consider alternate routes and allow for additional travel time."
5121,12/16/2014 08:48:00 PM,Missing Adult,NYS Missing Vulnerable Adult - Lillian Arana - F/W/72,"Alert issued 12/16/14 at 8:48 PM.  The New York State Division of Criminal Justice Services has issued a Missing Vulnerable Adult Alert in regards to the disappearance of Lillian Arana, a 72-year-old white female with Alzheimer's, from Larchmont Village, NY.  Ms. Arana is described as being 5'2'' tall , 150 lbs with brown hair, brown eyes, and tattooed eyebrows. Ms. Arana was last seen at approximately 8:00 AM on 12/16 on West Street, Larchmont Village, NY. She was last seen wearing a brown jacket and dark leggings. Ms. Arana may seem to be confused and in need of medical attention.  A photo of the missing is available at http://i.imgur.com/FbIjWA0.jpg. If you see Ms. Arana, please call 9-1-1."
5122,12/17/2014 10:04:00 AM,School Notification,"School Relocation PS 396X, MS 390X, P10X - (BX)","Notification issued 12/17/14 at 10:04 AM. Due to a building condition in the area, staff and students of PS 396, located at 1930 Andrews Avenue in The Bronx will relocate to PS 226, located at 1950 Sedgwick Avenue in The Bronx. In addition, staff and students of MS 390 and P10X located at 1930 Andrews Avenue in The Bronx will relocate to PS 15 located at 2150 Andrews Avenue in The Bronx. An update will be distributed regarding the dismissal location of the students."
5123,12/17/2014 12:18:00 PM,School Notification,"Update - School Relocation PS 396X, MS 390X, P10X - (BX)","Notification issued 12/17/14 at 12:18 PM. This is an updated notification to the previously issued school relocation message. Students of PS 396, which have been relocated to PS 226, located at 1950 Sedgwick Avenue in The Bronx, will be bussed from or can be picked up from the relocation site (1950 Sedgwick Avenue). Students who wish to walk home will be walked to the front of PS 396 (home school building) and then dismissed. Students of MS 390 and P10X, which were relocated to PS 15 located at 2195 Andrews Avenue in The Bronx, will be bussed from or can be picked up from the relocation site (2195 Andrews Avenue). Students who wish to walk home will be walked to the front of MS 390 or P10X (home school building) and then dismissed."
5124,12/19/2014 12:07:00 PM,Fire,Commerical High Rise Fire - Park Avenue & East 57th Street (MN),"Notification issued 12/19/14 at 12:07 PM. Emergency personnel are on the scene of a high rise fire located at Park Avenue and East 57th Street in Manhattan. Expect smoke, traffic delays, and a presence of emergency personnel in the area."
5125,12/17/2014 11:45:00 PM,Missing Adult,Silver Alert - Adrian Mejias M/H/78 (CW),"Silver Alert issued 12/17/14 at 11:45 PM.  NYPD has issued a Silver Alert in regards to the disappearance of Adrian Mejias, a 78-year old Hispanic male who is diabetic and suffers from Alzheimer's and dementia, from the area of Bainbridge Street and Thomas S Boyland Street in Brooklyn.  He was last seen on 12/17 at approximately 3:00 PM near Broadway and Pilling Street in Brooklyn wearing a blue and white plaid shirt, blue jeans, a brown jacket, and white sneakers.  He is described as being 6'0'' tall and 170lbs with gray hair. A photo of the missing is available at http://i.imgur.com/nMSC22m.jpg.  If you see Mr. Mejias, please call 9-1-1."
5126,12/18/2014 05:15:00 PM,Mass Transit Disruption,Transit Delays - A Train (QN),"Notification issued 12/18/14 at 5:15 PM. Due to FDNY activity, there is no A train service between Euclid Avenue, Far Rockaway, and Lefferts Boulevard in Queens. For more info visit http://www.mta.info/."
5127,12/18/2014 04:42:00 PM,Fire,Three Alarm Fire - 97th Street and Liberty Avenue (QN),Notification issued 12/18/14 at 4:42 PM. Emergency personnel are on the scene of a four alarm fire located at 97th Street and Liberty Avenue in Queens. Expect smoke and traffic delays in the vicinity.
5128,12/18/2014 05:44:00 PM,Mass Transit Disruption,Train Restoration - A Train (BK),"Notification issued 12/18/14 at 5:44 PM. Following an earlier suspension, A train service has resumed in both directions between Euclid, Far Rockaway, and Lefferts Boulevard, Queens. Expect residual delays."
5129,12/18/2014 08:12:00 PM,Fire,Three Alarm Fire - Stillwell Avenue at Mermaid Avenue (BK),Notification issued 12/18/14 at 8:12 PM. Emergency personnel are on the scene of a three alarm fire located at Stillwell Avenue and Mermaid Avenue in Brooklyn. Expect smoke and traffic delays in the vicinity.
5130,12/19/2014 12:26:00 PM,Fire,Update and Correction - High Rise Fire - Park Avenue South & East 31st Street (MN),"Notification issued 12/19/14 at 12:26 PM. This is a correction to a previously issued message. Emergency personnel are on the scene of a high rise fire located at Park Avenue South and East 31st Street in Manhattan. Expect smoke, traffic delays, and a presence of emergency personnel and vehicles in the vicinity."
5131,12/19/2014 07:42:00 PM,Road Closure - Unplanned,Traffic Delays - Manhattan Bridge (BK/MN),"Notification issued 12/18/14 at 7:42 PM. Due to protest activity, expect extensive traffic delays on the upper and lower levels of the Brooklyn bound Manhattan Bridge. Consider alternate routes."
5132,12/20/2014 10:35:00 PM,Mass Transit Disruption,Train Restoration - G Train (BK),"Notification issued 12/20/14 at 10:35 PM. Following an earlier suspension, G train service has resumed in both directions between Bedford-Nostrand Avenue and Court Square, Brooklyn. Expect residual delays."
5133,12/20/2014 03:00:00 PM,Road Closure - Unplanned,Traffic Delays - Bayonne Bridge (SI / NJ),"Notification issued 12/20/14 at 3:00 PM. Due to emergency activity, expect extensive delays on the Bayonne Bridge in  the Staten Island and New Jersey bound directions. Consider alternate routes and allow for additional travel time."
5134,12/20/2014 03:20:00 PM,Road Closure - Unplanned,Traffic Delays - Myrtle Avenue at Marcy Avenue (BK),"Notification issued 12/20/14 at 3:20 PM. Due to NYPD activity in the vicinity of Myrtle Avenue and Marcy Avenue in Brooklyn, expect traffic delays and emergency personnel in the area."
5135,12/20/2014 11:30:00 PM,Missing Adult,Silver Alert - Whitfield Dawson - M/B/87 (BX),"Silver Alert issued 12/20/14 at 11:30 PM.  NYPD has issued a Silver Alert in regards to the disappearance of Whitfield Dawson, an 87-year old Black male with dementia, diabetes, and high blood pressure, from the area of East 217th Street in the Bronx.  He was last seen on 12/19 at approximately 10:45 AM wearing blue jeans, a plaid shirt, a green sweatshirt, and a blue hooded coat with stripes on the sleeves. He is described as being 5'7'' tall and 140 lbs. A photo of the missing is available at http://i.imgur.com/RTR3jFJ.jpg.  If you see Mr. Dawson, please call 9-1-1."
5136,12/20/2014 04:20:00 PM,Mass Transit Disruption,Train Delays - G Train (BK),"Notification issued 12/20/14 at 4:20 PM. Due to NYPD activity, there is no G train service between  Bedford-Norstrand Avenue and Court Square in Brooklyn. For more info visit http://www.mta.info/."
5137,12/20/2014 07:12:00 PM,Missing Adult,NYS Missing Vulnerable Adult - Lucio Giammarino - M/W/76,"Alert issued 12/20/14 at 7:10 PM.  The New York State Division of Criminal Justice Services has issued a Missing Vulnerable Adult Alert in regards to the disappearance of Lucio Giammarino, a 76-year-old white male with dementia, from North Bellmore, NY.  Mr. Giammarino is described as being 5'8'' tall , 205 lbs with gray hair, brown eyes. Mr. Giammarino was last seen at approximately 11:30 AM on 12/20 driving a 2003 tan Cadilac CTS, license plate DKX - 1283. Mr. Gimmarino may still be in the local area and may seem lost and confused.  A photo of the missing is available at http://i.imgur.com/b7ldrAt.jpg. If you see Mr. Gimmarino, please call 9-1-1."
5138,12/20/2014 07:25:00 PM,Road Closure - Unplanned,Traffic Delays - Flushing Avenue and Broadway  (BK),"Notification issued 12/20/14 at 7:25 PM. Due to NYPD activity in the vicinity of Flushing Avenue and Broadwayin Brooklyn, expect traffic delays and emergency personnel in the area."
5139,12/21/2014 03:00:00 PM,Public Awareness,Aerial Infrared Deer Survey (BX),"Notification issued on 12/21/14 at 3:00 PM. Weather permitting, the Department of Parks & Recreation (DPR) and an independent contractor will conduct an aerial survey of the deer population over various parks in The Bronx today, 12/21 between 5:00 PM and midnight. These parks will include Pelham Bay and Bronx Park. The survey will consist of one (1) single-engine aircraft utilizing an infrared camera to measure the temperature difference between the deer and the surrounding environment. The aircraft will conduct the survey at an altitude of approximately 1,000 feet."
5140,12/22/2014 05:25:00 AM,Road Closure - Unplanned,Traffic Delays - Bruckner Expressway at 138th Street (BX),"Notification issued 12/22/14 at 5:25 AM.  Due to a motor vehicle collision, expect extensive traffic delays in both directions on the Bruckner Expressway at 138th Street in The Bronx. Consider alternate routes and allow for additional travel time."
5141,12/23/2014 08:05:00 AM,Road Closure - Unplanned,Suspicious Activity - 304 East 45th at 2nd Avenue (MN),"Notification issued 12/23/14 at 8:05 AM.  Due to NYPD activity at East 45th Street and 2nd Avenue (MN), there are road closures effecting local pedestrian and vehicular traffic."
5142,12/24/2014 08:00:00 AM,Environmental,CSO Advisory (CW),"This file written at 12/24/2014 7:00 AM
Rainfall at three NOAA rain gauges over the past 24 hours in inches:
JFK Airport: 0.13
LaGuardia Airport: 0.08
Central Park: 0.05
List of Advisories
BERGEN BASIN: CSO Advisory until 12/25/2014 7:00 AM
NEWTOWN CREEK: CSO Advisory until 12/25/2014 7:00 AM
THURSTON BASIN: CSO Advisory until 12/24/2014 7:00 PM
WESTCHESTER CREEK: CSO Advisory until 12/24/2014 7:00 PM
Current CSO advisories: 4
A CSO Waterbody Advisory has been issued. For more info on affected waterbodies, call 311 or go to http://on.nyc.gov/JJmJoK"
5143,12/25/2014 05:40:00 PM,Missing Adult,NYS Missing Vulnerable Adult - Thomas A Odwyer M/W/75,"Alert issued 12/25/14 at 5:40 PM. The New York State Division of Criminal Justice Services has issued a Missing Vulnerable Adult Alert in regards to the disappearance of Thomas A Odwyer, a 75-year-old white male with dementia, a heart condition, and kidney failure from West Hempstead, NY.  Mr. Odwyer is described as being 5'8'' tall, 160 lbs with white hair, and gray eyes. Mr. Odwyer was last made contact with his family on 12/24. He may be driving a 2014 blue Honda Accord, license plate GLV - 7286. Mr. Odwyer may appear lost or confused and may be in need of medical attention.  A photo of the missing is available at http://i.imgur.com/rXiisjj.png. If you see Mr. Odwyer, please call 9-1-1 or 516-573-7347."
5144,12/24/2014 11:50:00 AM,Fire,3-Alarm Fire - 142 Place & Rockaway Blvd (QN),Notification issued 12/24/14 at 12:05 PM. Emergency personnel are on scene of a 3-Alarm fire in the area of 142nd Place and 123rd Ave (QN). Expect traffic delays and road closures in the area.
5145,12/27/2014 05:19:00 AM,Missing Adult,Silver Alert - Henry Grant - M/B/89,"Silver Alert issued 12/27/14 at 5:19 AM.  NYPD has issued a Silver Alert in regards to the disappearance of Henry Grant, an 89-year old black male, from the area of 57th Avenue and 99th Street in Corona, Queens. He was last seen on 12/23 at approximately 12:00 PM wearing a dark green jacket, brown pants, brown sweater, and a black hat. Mr. Grant is described as being 5'2'' tall and 105 lbs. with grey hair. A photo of the missing is available at http://i.imgur.com/XUHtmJK.jpg. If you see Mr. Grant, please call 9-1-1."
5146,12/25/2014 08:00:00 AM,Environmental,CSO Advisory (CW),"This file written at 12/25/2014 7:15 AM
Rainfall at three NOAA rain gauges over the past 24 hours in inches:
JFK Airport: 0.96
LaGuardia Airport: 0.55
Central Park: 0.7
List of Advisories
BERGEN BASIN: CSO Advisory until 12/25/2014 3:00 PM
GOWANUS CANAL: CSO Advisory until 12/26/2014 3:00 PM
NEWTOWN CREEK: CSO Advisory until 12/25/2014 3:00 PM
THURSTON BASIN: CSO Advisory until 12/26/2014 3:00 AM
WESTCHESTER CREEK: CSO Advisory until 12/25/2014 3:00 PM
Current CSO advisories: 5
A CSO Waterbody Advisory has been issued. For more info on affected waterbodies, call 311 or go to http://on.nyc.gov/JJmJoK"
5147,12/26/2014 08:20:00 AM,Environmental,CSO Advisory (CW),"This file written at 12/26/2014 7:15 AM
Rainfall at three NOAA rain gauges over the past 24 hours in inches:
JFK Airport: 0.96
LaGuardia Airport: 0.55
Central Park: 0.7
List of Advisories
GOWANUS CANAL: CSO Advisory until 12/26/2014 3:00 PM
Current CSO advisories: 1
A CSO Waterbody Advisory has been issued. For more info on affected waterbodies, call 311 or go to http://on.nyc.gov/JJmJoK"
5148,12/26/2014 06:00:00 PM,Missing Adult,Silver Alert - Melvin Fisher - M/W/68,"Silver Alert issued 12/26/14 at 6:00 PM.  NYPD has issued a Silver Alert in regards to the disappearance of Melvin Fisher, a 69-year old white male, from the area of Quentin Road in Brooklyn. Mr. Fisher has schizophrenia and diabetes. He was last seen on 12/23 at approximately 6:30 PM wearing a black jacket and black jeans. Mr. Fisher is described as being 6' tall and 225 lbs., gray hair, and blue eyes. A photo of the missing is available at http://i.imgur.com/6qHmOkn.jpg. If you see Mr. Fisher, please call 9-1-1."
5149,12/27/2014 06:19:00 PM,Missing Adult,Silver Alert - Ramon Saez - M/H/76,"Silver Alert issued 12/27/14 at 6:19 PM.  NYPD has issued a Silver Alert in regards to the disappearance of Ramon Saez, a 76-year old hispanic male, from the area of 1st Avenue and East 97th Street in Manhattan. Mr. Saez has a tracheostomy, high blood pressure, and walks with a cane. He was last seen on 12/26 at approximately 4:20 PM wearing blue jeans, a green shirt, blue jacket, and a black leather cowboy hat. Mr. Saez is described as being 5'9'' tall and 140 lbs. A photo of the missing is available at http://i.imgur.com/t4iGZ8c.jpg. If you see Mr. Saez, please call 9-1-1."
5150,12/28/2014 08:29:00 AM,Road Closure - Unplanned,Traffic Delays - RFK Bridge,"Notification issued 12/28/14 at 8:29 AM.  Due to an overturned vehicle, there are delays on the northbound lanes of the Robert F. Kennedy Bridge.  Please use alternate routes if possible."
5151,12/31/2014 05:20:00 AM,Missing Adult,Silver Alert - David Melendez M/H/67 (CW),"Silver Alert issued 12/31/14 at 5:20 AM.  NYPD has issued a Silver Alert in regards to the disappearance of David Melendez, a 67-year-old Hispanic male with Alzheimer's, from the area of Irving Avenue and Menahan Street in Brooklyn. He is described as being 5'9'' tall and 240lbs with salt-and-pepper hair.  He was last seen at approximately 2:40PM on 12/29 wearing dark glasses, a black hooded pullover jacket with white and silver stripes, a green shirt, blue jeans, and black shoes. Mr. Melendez is also blind in one eye and suffers from diabetes.  A photo of the missing is available at http://i.imgur.com/WLlffGM.jpg.  If you see Mr. Melendez, please call 9-1-1."
5152,12/30/2014 05:55:00 AM,Road Closure - Unplanned,Road Closure - Long Island Expressway,"Notification issued 12/30/14 at 5:55 AM.  Due to an overturned tractor trailer, all eastbound lanes of the Long Island Expressway are closed between Main Street and Kissena Boulevard in Queens.  Westbound traffic is experiencing delays as a result.  Consider alternate routes and allow for additional travel time."
5153,12/30/2014 08:33:00 AM,Road Closure - Unplanned,Road Reopened - Long Island Expressway (QN),"Notification issued 12/30/14 at 8:33 AM.  Following an earlier closure, all lanes of the Long Island Expressway are now open between Main Street and Kissena Boulevard in Queens. Expect residual delays."
4739,12/17/2014 12:00:00 PM,Public Awareness,Fireworks - Hudson River near Battery Park City - 12/18/14 (MN),"Notification issued 12/17/14 at 12:00 PM. There will be a fireworks display at 7:30 PM tomorrow, 12/18/14 over the Hudson River near Battery Park City, Manhattan."
4773,12/07/2014 03:00:00 PM,Drills / Exercises,CERT Exercise - 12/8/14 (MN),"Notification issued 12/7/14 at 3:00 PM. As part of a Community Emergency Response Team (CERT) training class, a controlled fire and disaster drill will be conducted at West 18th Street and 5th Avenue in Manhattan at 6:30 PM tomorrow, 12/8/14. Expect to see FDNY and NYPD personnel in action. To learn more about CERT, visit http://www.NYC.gov/CERT."
4776,11/30/2014 03:00:00 PM,Drills / Exercises,CERT Exercise - 12/1/14 (MN),"Notification issued 11/30/14 at 3:00 PM. As part of a Community Emergency Response Team (CERT) training class, a controlled fire and disaster drill will be conducted at West 18th Street and 5th Avenue in Manhattan at 6:30 PM tomorrow, 12/1/14. Expect to see FDNY and NYPD personnel in action. To learn more about CERT, visit http://www.NYC.gov/CERT."
4778,12/01/2014 03:00:00 PM,Drills / Exercises,CERT Exercise - 12/2/14 (BX),"Notification issued 12/1/14 at 3:00 PM. As part of a Community Emergency Response Team (CERT) training class, a controlled fire and disaster drill will be conducted at West 181st Street and University Avenue in The Bronx at 6:30 PM tomorrow, 12/2/14. Expect to see FDNY and NYPD personnel in action. To learn more about CERT, visit http://www.NYC.gov/CERT."
4780,12/09/2014 03:00:00 PM,Drills / Exercises,CERT Exercise - 12/10/14 (SI),"Notification issued 12/9/14 at 3:00 PM. As part of a Community Emergency Response Team (CERT) training class, a controlled fire and disaster drill will be conducted at New Dorp Lane and Hylan Boulevard in Staten Island at 6:30 PM tomorrow, 12/10/14. Expect to see FDNY and NYPD personnel in action. To learn more about CERT, visit http://www.NYC.gov/CERT."
4782,12/03/2014 03:00:00 PM,Drills / Exercises,CERT Exercise - 12/4/14 (QN),"Notification issued 12/3/14 at 3:00 PM. As part of a Community Emergency Response Team (CERT) training class, a controlled fire and disaster drill will be conducted at 110th Street and 66th Road in Queens at 6:30 PM tomorrow, 12/4/14. Expect to see FDNY and NYPD personnel in action. To learn more about CERT, visit http://www.NYC.gov/CERT."
4784,12/10/2014 03:00:00 PM,Drills / Exercises,CERT Exercise - 12/11/14 (BK),"Notification issued 12/10/14 at 3:00 PM. As part of a Community Emergency Response Team (CERT) training class, a controlled fire and disaster drill will be conducted at Cadman Plaza East and Red Cross Place in Brooklyn at 6:30 PM tomorrow, 12/11/14. Expect to see FDNY and NYPD personnel in action. To learn more about CERT, visit http://www.NYC.gov/CERT."
4839,12/01/2014 12:03:00 PM,Road Closure - Unplanned,Brooklyn Bridge Traffic Delays (BK/MN),Notification issued 12/1/14 at 12:03 PM.  All west bound lanes of the Brooklyn Bridge entrance from Brooklyn-Queens Expressway are experiencing extensive traffic delays.  Please use alternate routes.
4897,12/31/2014 04:00:00 PM,Public Awareness,"Fireworks - Cherry Hill, Central Park on New Years Eve: 12/31/14 - 1/1/15 (MN)","Notification issued 12/31/14 at 4:00 PM. There will be a fireworks display at midnight tonight (1/1/15) in Cherry Hill, Central Park, Manhattan."
4898,12/31/2014 12:00:00 PM,Public Awareness,Fireworks - Liberty Is on New Years Eve: 12/31/14 - 1/1/15 (BK/MN/SI),Notification issued 12/31/14 at 12:00 PM. There will be a fireworks display just before midnight tonight (1/1/15) over New York Harbor at Liberty Island.
